date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-01-18,8.91,9.5,8.99,8.9,441984.97,0.08,0.9,8.84,8.885,8.643,238965.55,276557.87,230682.34,3.18
2022-01-17,8.68,8.95,8.91,8.66,184043.84,0.24,2.77,8.818,8.866,8.606,200643.4,262598.54,216704.75,1.32
2022-01-14,8.73,8.84,8.67,8.63,155448.69,-0.12,-1.36,8.846,8.843,8.579,214812.87,275833.02,216838.95,1.12
2022-01-13,8.86,9.04,8.79,8.77,189152.92,-0.05,-0.57,8.886,8.82,8.564,263921.42,279619.05,219409.9,1.36
2022-01-12,8.84,8.95,8.84,8.74,224197.34,-0.04,-0.45,8.916,8.753,8.534,277387.08,273878.79,219217.54,1.61
2022-01-11,8.99,9.14,8.88,8.8,250374.2,-0.17,-1.88,8.93,8.692,8.503,314150.19,263896.91,222785.98,1.8
2022-01-10,8.75,9.09,9.05,8.64,254891.22,0.18,2.03,8.914,8.636,8.457,324553.68,254336.84,218004.22,1.83
2022-01-07,8.95,9.27,8.87,8.85,400991.44,-0.07,-0.78,8.84,8.562,8.397,336853.17,242916.6,210032.01,2.88
2022-01-06,8.82,9.0,8.94,8.79,256481.2,0.03,0.34,8.754,8.512,8.342,295316.68,222552.9,194838.63,1.84
2022-01-05,8.75,9.3,8.91,8.71,408012.88,0.11,1.25,8.59,8.459,8.281,270370.5,213506.36,185333.15,2.93
2022-01-04,8.74,8.91,8.8,8.6,302391.66,0.12,1.38,8.454,8.4,8.221,213643.63,184806.81,167856.01,2.17
2021-12-31,8.44,8.81,8.68,8.37,316388.69,0.24,2.84,8.358,8.345,8.168,184120.0,170810.96,156594.89,2.27
2021-12-30,8.12,8.48,8.44,8.12,193308.95,0.32,3.94,8.284,8.315,8.126,148980.02,157844.88,144093.81,1.39
2021-12-29,8.27,8.27,8.12,8.1,131750.31,-0.11,-1.34,8.27,8.308,8.096,149789.12,159200.74,138624.55,0.95
2021-12-28,8.29,8.36,8.23,8.21,124378.56,-0.09,-1.08,8.328,8.315,8.082,156642.22,164556.3,138456.31,0.89
2021-12-27,8.29,8.36,8.32,8.18,154773.48,0.01,0.12,8.346,8.313,8.051,155969.99,181675.05,135994.04,1.11
2021-12-24,8.35,8.51,8.31,8.27,140688.8,-0.06,-0.72,8.332,8.277,8.013,157501.93,181671.61,133099.07,1.01
2021-12-23,8.41,8.66,8.37,8.34,197354.45,-0.04,-0.48,8.346,8.232,7.982,166709.73,177147.42,130219.88,1.42
2021-12-22,8.35,8.53,8.41,8.32,166015.81,0.09,1.08,8.346,8.172,7.952,168612.37,167124.36,123770.61,1.19
2021-12-21,8.23,8.39,8.32,8.2,121017.4,0.07,0.85,8.302,8.102,7.926,172470.37,157159.93,119351.94,0.87
2021-12-20,8.4,8.44,8.25,8.23,162433.17,-0.13,-1.55,8.28,8.042,7.9,207380.11,150905.22,116989.33,1.17
2021-12-17,8.32,8.44,8.38,8.28,186727.84,0.01,0.12,8.222,7.991,7.877,205841.28,142378.81,113045.41,1.34
2021-12-16,8.19,8.38,8.37,8.14,206867.62,0.18,2.2,8.118,7.937,7.853,187585.1,130342.75,108430.05,1.49
2021-12-15,8.24,8.32,8.19,8.14,185305.84,-0.02,-0.24,7.998,7.883,7.829,165636.35,118048.36,106332.42,1.33
2021-12-14,7.96,8.44,8.21,7.9,295566.09,0.25,3.14,7.902,7.849,7.827,141849.49,112356.32,111635.14,2.12
2021-12-13,7.86,8.03,7.96,7.82,154739.03,0.1,1.27,7.804,7.788,7.818,94430.32,90313.03,107569.46,1.11
2021-12-10,7.75,7.87,7.86,7.73,95446.92,0.09,1.16,7.76,7.748,7.812,78916.34,84526.53,104277.96,0.69
2021-12-09,7.71,7.84,7.77,7.71,97123.88,0.06,0.78,7.756,7.731,7.806,73100.4,83292.35,102120.27,0.7
2021-12-08,7.73,7.75,7.71,7.65,66371.54,-0.01,-0.13,7.768,7.732,7.807,70460.36,80416.86,100881.0,0.48
2021-12-07,7.78,7.8,7.72,7.67,58470.23,-0.02,-0.26,7.796,7.749,7.807,82863.16,81543.95,100757.83,0.42
2021-12-06,7.84,7.88,7.74,7.73,77169.14,-0.1,-1.28,7.772,7.757,7.804,86195.75,83073.44,100293.06,0.55
