date,open,high,close,low,volume,amount
2018-12-27,9.91,9.94,9.8,9.8,27347564.0,266280883.0
2018-12-26,9.95,10.02,9.81,9.78,20569202.0,200359184.0
2018-12-25,9.91,10.0,9.93,9.74,34810397.0,337985911.0
2018-12-24,10.12,10.19,10.05,10.0,22779882.0,225706451.0
2018-12-21,10.38,10.39,10.22,10.14,20885862.0,209975605.0
2018-12-20,10.68,10.74,10.4,10.26,30069914.0,309207188.0
2018-12-19,10.74,10.8,10.69,10.69,13603633.0,144342542.0
2018-12-18,10.83,10.98,10.72,10.69,19451677.0,207318277.0
2018-12-17,10.8,10.94,10.94,10.77,19746228.0,211971706.0
2018-12-14,10.9,10.96,10.77,10.74,24163831.0,257441060.0
2018-12-13,10.92,11.02,10.96,10.89,19792340.0,213866046.0
2018-12-12,11.05,11.05,10.89,10.86,12448791.0,134006589.0
2018-12-11,11.0,11.06,10.88,10.84,17234222.0,185675067.0
2018-12-10,10.93,11.06,10.99,10.93,15927563.0,172346141.0
2018-12-07,11.1,11.19,11.05,11.04,10580550.0,115760323.0
2018-12-06,10.98,11.09,11.06,10.98,23597997.0,256533148.0
2018-12-05,11.15,11.26,11.16,11.12,25491217.0,281189602.0
2018-12-04,11.16,11.24,11.24,11.13,20811293.0,229713745.0
2018-12-03,11.15,11.21,11.18,11.0,43049070.0,472438382.0
2018-11-30,10.8,10.91,10.87,10.77,28572651.0,305468672.0
2018-11-29,10.79,10.91,10.78,10.69,20685685.0,220670065.0
2018-11-28,10.71,10.77,10.73,10.65,18339621.0,193914889.0
2018-11-27,10.65,10.76,10.64,10.6,15084666.0,158853285.0
2018-11-26,10.81,10.81,10.65,10.58,14377396.0,151609376.0
2018-11-23,10.75,10.81,10.65,10.65,14715010.0,155566104.0
2018-11-22,10.89,10.89,10.79,10.72,14008305.0,148745106.0
2018-11-21,10.76,10.88,10.81,10.76,16027458.0,170915676.0
2018-11-20,11.03,11.05,10.84,10.8,21883780.0,234959214.0
2018-11-19,11.02,11.06,11.04,10.93,21384793.0,231999662.0
2018-11-16,10.93,11.01,10.92,10.87,21394417.0,230509596.0
2018-11-15,10.88,10.97,10.93,10.8,16580059.0,178144575.0
2018-11-14,11.03,11.03,10.86,10.83,17998183.0,193809658.0
2018-11-13,10.83,11.06,10.98,10.83,20708729.0,223541479.0
2018-11-12,10.93,11.11,10.96,10.91,27015827.0,292478247.0
2018-11-09,11.15,11.19,10.91,10.86,25570050.0,277004944.0
2018-11-08,11.21,11.26,11.22,11.06,19991683.0,220506116.0
2018-11-07,11.25,11.26,11.06,11.03,20843864.0,228836505.0
